stn,time,fkl010z0,fkl010z1,dkl010z0,dkl010z1,fkl010z3
748,201906150200,2.7,5.6,212,10000000,5.2
748,201906150210,2.8,5.4,208,10000000,5.0
748,201906150220,3.3,5.9,208,10000000,5.2
748,201906150230,3.6,6.0,213,10000000,5.7
748,201906150240,3.4,6.6,218,10000000,6.3
748,201906150250,3.8,7.5,217,10000000,7.2
748,201906150300,4.4,7.1,215,10000000,6.9
748,201906150310,4.6,7.0,213,10000000,6.7
748,201906150320,5.1,8.5,211,10000000,7.9
748,201906150330,3.5,6.2,238,10000000,6.0
748,201906150340,3.4,6.7,233,10000000,6.3
748,201906150350,1.4,3.3,155,10000000,3.3
748,201906150400,0.9,1.6,25,10000000,1.5
748,201906150410,1.5,4.5,23,10000000,4.2
748,201906150420,1.2,2.0,349,10000000,1.9
748,201906150430,1.1,2.3,339,10000000,2.1
748,201906150440,3.0,7.6,220,10000000,7.3
748,201906150450,2.4,4.3,236,10000000,4.0
748,201906150500,3.4,6.7,242,10000000,6.6
748,201906150510,3.7,7.0,251,10000000,6.7
748,201906150520,2.3,4.7,263,10000000,4.5
748,201906150530,1.7,2.7,312,10000000,2.6
748,201906150540,2.5,4.2,63,10000000,4.0
748,201906150550,1.7,3.7,278,10000000,3.5
748,201906150600,1.8,3.3,259,10000000,3.1
748,201906150610,1.4,2.7,246,10000000,2.4
748,201906150620,2.0,3.6,239,10000000,3.5
748,201906150630,3.0,5.6,247,10000000,5.3
748,201906150640,3.2,6.4,264,10000000,6.0
748,201906150650,3.5,6.8,273,10000000,6.2
748,201906150700,3.1,6.2,263,10000000,5.9
748,201906150710,3.9,6.2,258,10000000,6.0
748,201906150720,2.7,4.5,265,10000000,4.3
748,201906150730,1.6,3.8,236,10000000,3.6
748,201906150740,1.1,2.9,244,10000000,2.7
748,201906150750,1.4,2.9,273,10000000,2.8
748,201906150800,1.0,2.6,5,10000000,2.5
748,201906150810,1.6,3.0,122,10000000,2.9
748,201906150820,1.4,3.4,76,10000000,3.1
748,201906150830,1.7,3.7,303,10000000,3.4
748,201906150840,1.8,3.7,289,10000000,3.6
748,201906150850,1.3,2.3,348,10000000,2.3
748,201906150900,1.2,3.4,12,10000000,3.3
748,201906150910,2.5,4.9,40,10000000,4.8
748,201906150920,3.8,5.7,60,10000000,5.4
748,201906150930,4.3,6.3,58,10000000,6.1
748,201906150940,3.9,5.7,60,10000000,5.6
748,201906150950,3.9,7.2,54,10000000,7.0
748,201906151000,3.9,6.5,50,10000000,6.3
748,201906151010,4.6,7.0,59,10000000,6.8
748,201906151020,4.2,5.9,60,10000000,5.8
748,201906151030,4.5,7.0,58,10000000,6.7
748,201906151040,4.1,6.4,41,10000000,6.0
748,201906151050,4.1,6.0,52,10000000,5.7
748,201906151100,3.7,5.8,37,10000000,5.6
748,201906151110,3.2,5.3,30,10000000,5.1
748,201906151120,3.3,5.2,31,10000000,5.0
748,201906151130,3.8,5.9,40,10000000,5.7
748,201906151140,4.0,5.8,46,10000000,5.6
748,201906151150,3.9,6.3,43,10000000,6.0
748,201906151200,3.3,5.3,41,10000000,5.2
748,201906151210,3.3,5.3,22,10000000,5.1
748,201906151220,3.6,6.2,22,10000000,5.9
748,201906151230,3.6,5.8,19,10000000,5.5
748,201906151240,3.2,5.5,50,10000000,5.4
748,201906151250,3.1,6.2,25,10000000,5.8
748,201906151300,3.9,5.8,31,10000000,5.6
748,201906151310,4.2,7.0,25,10000000,6.5
748,201906151320,4.0,6.4,22,10000000,6.1
748,201906151330,3.4,5.6,28,10000000,5.4
748,201906151340,4.3,8.0,31,10000000,7.6
748,201906151350,4.1,7.1,37,10000000,7.0
748,201906151400,4.0,6.6,16,10000000,6.4
748,201906151410,4.5,7.4,14,10000000,7.0
748,201906151420,4.7,8.7,29,10000000,8.3
748,201906151430,4.2,7.7,21,10000000,7.2
748,201906151440,4.7,8.0,44,10000000,7.6
748,201906151450,5.1,7.7,21,10000000,7.5
748,201906151500,4.9,7.8,20,10000000,7.5
748,201906151510,5.4,8.7,14,10000000,8.2
748,201906151520,5.6,8.2,9,10000000,7.7
748,201906151530,5.5,9.9,17,10000000,9.3
748,201906151540,4.3,7.4,25,10000000,7.1
748,201906151550,5.0,21.9,313,10000000,19.0
748,201906151600,11.1,24.5,243,10000000,22.6
748,201906151610,6.3,16.1,234,10000000,14.8
748,201906151620,6.6,12.6,193,10000000,12.2
748,201906151630,6.2,9.8,179,10000000,9.3
748,201906151640,5.2,8.7,184,10000000,8.2
748,201906151650,6.2,10.9,197,10000000,10.7
748,201906151700,7.4,12.5,211,10000000,11.5
748,201906151710,5.8,10.4,214,10000000,9.5
748,201906151720,5.2,8.4,206,10000000,8.1
748,201906151730,5.2,9.4,205,10000000,9.0
748,201906151740,4.0,6.4,217,10000000,6.2
748,201906151750,1.6,4.8,246,10000000,4.5
748,201906151800,1.5,2.1,28,10000000,2.0
748,201906151810,1.3,2.0,336,10000000,1.9
748,201906151820,0.6,1.5,331,10000000,1.3
748,201906151830,0.6,1.1,256,10000000,1.0
748,201906151840,1.0,1.7,244,10000000,1.6
748,201906151850,1.2,2.0,261,10000000,2.0
748,201906151900,1.8,3.7,240,10000000,3.4
748,201906151910,1.1,1.7,258,10000000,1.7
748,201906151920,1.2,2.2,242,10000000,2.2
748,201906151930,1.5,2.2,212,10000000,2.1
748,201906151940,1.0,2.4,207,10000000,2.3
748,201906151950,0.6,1.1,296,10000000,1.0
748,201906152000,1.1,2.1,225,10000000,2.0
748,201906152010,0.7,1.2,264,10000000,1.2
748,201906152020,1.5,2.9,206,10000000,2.8
748,201906152030,1.5,2.0,198,10000000,2.0
748,201906152040,1.4,2.4,188,10000000,2.3
748,201906152050,1.6,2.7,244,10000000,2.4
748,201906152100,1.8,3.5,226,10000000,3.3
748,201906152110,2.1,3.3,218,10000000,3.0
748,201906152120,1.2,2.4,264,10000000,2.2
748,201906152130,0.5,1.1,289,10000000,1.0
748,201906152140,1.1,2.1,100,10000000,2.1
748,201906152150,1.0,1.6,65,10000000,1.5
748,201906152200,0.8,1.4,123,10000000,1.3
748,201906152210,0.8,1.9,200,10000000,1.8
748,201906152220,0.6,1.4,224,10000000,1.4
748,201906152230,0.9,2.2,200,10000000,2.1
748,201906152240,1.7,2.6,180,10000000,2.5
748,201906152250,2.2,3.1,199,10000000,2.9
748,201906152300,2.1,3.3,214,10000000,3.2
748,201906152310,1.9,3.2,222,10000000,3.0
748,201906152320,1.2,2.0,254,10000000,2.0
748,201906152330,1.1,1.7,219,10000000,1.6
748,201906152340,1.1,1.7,227,10000000,1.6
748,201906152350,1.0,1.7,224,10000000,1.6
850,201906150000,3.7,9.1,223,10000000,8.9
850,201906150010,5.0,10.2,246,10000000,9.5
850,201906150020,4.5,7.3,248,10000000,7.1
850,201906150030,4.6,7.8,226,10000000,7.5
850,201906150040,3.9,8.1,219,10000000,8.0
850,201906150050,7.2,10.9,237,10000000,10.5
850,201906150100,7.8,12.4,247,10000000,12.0
850,201906150110,6.2,9.6,245,10000000,9.4
850,201906150120,5.5,9.7,241,10000000,9.4
850,201906150130,4.3,7.0,251,10000000,6.6
850,201906150140,2.2,4.3,247,10000000,4.1
850,201906150150,2.1,3.6,221,10000000,3.5
850,201906150200,2.2,3.1,173,10000000,3.0
850,201906150210,2.1,3.5,166,10000000,3.4
850,201906150220,2.7,3.9,153,10000000,3.8
850,201906150230,3.2,5.7,189,10000000,5.5
850,201906150240,3.0,6.8,214,10000000,6.7
850,201906150250,4.4,7.4,202,10000000,7.2
850,201906150300,2.6,5.3,195,10000000,5.1
850,201906150310,2.0,4.0,172,10000000,3.8
850,201906150320,3.0,4.6,169,10000000,4.5
850,201906150330,2.5,3.4,180,10000000,3.3
850,201906150340,2.1,3.5,191,10000000,3.4
850,201906150350,2.5,3.4,232,10000000,3.3
850,201906150400,3.2,4.8,234,10000000,4.7
850,201906150410,3.9,5.2,235,10000000,5.1
850,201906150420,3.1,4.8,220,10000000,4.7
850,201906150430,3.0,5.5,179,10000000,5.4
850,201906150440,3.5,5.1,195,10000000,5.0
850,201906150450,4.3,6.9,206,10000000,6.7
850,201906150500,3.7,6.0,223,10000000,6.0
850,201906150510,2.6,3.9,223,10000000,3.8
850,201906150520,1.5,2.9,210,10000000,2.9
850,201906150530,2.0,3.0,213,10000000,2.9
850,201906150540,1.7,2.4,205,10000000,2.3
850,201906150550,2.3,4.1,209,10000000,4.1
850,201906150600,2.5,3.6,210,10000000,3.6
850,201906150610,3.6,5.5,230,10000000,5.4
850,201906150620,3.6,5.5,218,10000000,5.4
850,201906150630,2.2,3.9,187,10000000,3.8
850,201906150640,2.6,4.0,158,10000000,3.9
850,201906150650,2.8,3.8,164,10000000,3.7
850,201906150700,2.4,3.6,177,10000000,3.6
850,201906150710,2.3,3.1,167,10000000,3.0
850,201906150720,2.1,3.0,196,10000000,2.9
850,201906150730,2.0,2.9,218,10000000,2.8
850,201906150740,1.7,3.1,244,10000000,3.0
